Date,Open,High,Low,Close*,Adj Close**,Volume
"Oct 31, 2014",81.04,81.27,75.84,77.91,77.91,"1,853,573"
"Oct 24, 2014",81.95,82.88,79.44,81.12,81.12,"1,337,736"
"Oct 17, 2014",83.18,84.45,80.05,82.09,82.09,"1,262,422"
"Oct 10, 2014",84.39,86.29,79.78,82.70,82.70,"2,076,950"
"Oct 03, 2014",91.38,91.79,84.06,85.77,85.77,"1,638,294"
"Sep 26, 2014",92.47,94.90,88.18,91.01,91.01,"1,788,187"
"Sep 19, 2014",92.97,93.54,90.58,92.53,92.53,"1,101,268"
"Sep 12, 2014",93.05,95.19,90.63,93.07,93.07,"1,329,601"
"Sep 05, 2014",94.57,94.99,90.43,92.83,92.83,"1,513,733"
"Aug 29, 2014",94.56,96.00,92.68,94.45,94.45,"1,103,863"
"Aug 22, 2014",93.89,94.71,92.92,94.55,94.55,"942,357"
"Aug 15, 2014",95.50,97.41,92.50,93.96,93.96,"969,823"
"Aug 08, 2014",97.64,98.58,95.26,95.58,95.58,"1,354,413"
"Aug 01, 2014",97.70,98.67,96.55,97.34,97.34,"1,271,620"
"Jul 25, 2014",102.04,102.53,97.60,98.17,98.17,"1,340,553"
"Jul 18, 2014",103.72,105.25,101.79,102.07,102.07,"1,006,966"
"Jul 11, 2014",102.86,103.90,99.01,103.19,103.19,"1,439,495"
"Jul 04, 2014",104.06,104.20,101.55,102.93,102.93,"927,691"
"Jun 27, 2014",105.64,106.19,103.67,104.06,104.06,"975,999"
"Jun 20, 2014",106.60,107.73,105.03,105.84,105.84,"1,008,596"
"Jun 13, 2014",106.84,107.68,105.32,106.43,106.43,"1,012,533"
"Jun 06, 2014",102.44,106.95,102.30,106.53,106.53,"1,209,303"
"May 30, 2014",103.51,103.69,101.60,102.48,102.48,"897,926"
"May 23, 2014",103.71,104.50,102.61,103.58,103.58,"779,59"
"May 16, 2014",101.56,104.29,101.39,103.74,103.74,"950,087"
"May 09, 2014",100.27,102.65,99.71,101.50,101.50,"1,247,114"
"May 02, 2014",99.17,100.99,98.91,100.26,100.26,"1,198,717"
"Apr 25, 2014",101.93,102.20,98.74,99.42,99.42,"1,190,316"
"Apr 18, 2014",104.54,104.77,101.20,101.94,101.94,"891,741"
"Apr 11, 2014",103.34,104.99,102.91,104.30,104.30,"1,185,710"
"Apr 04, 2014",100.38,103.81,99.92,103.40,103.40,"1,294,794"
"Mar 28, 2014",101.34,102.24,98.86,100.29,100.29,"998,486"
"Mar 21, 2014",98.59,101.70,98.25,101.28,101.28,"973,579"
"Mar 14, 2014",98.25,100.82,97.37,99.43,99.43,"1,001,380"
"Mar 07, 2014",101.97,102.91,97.55,98.20,98.20,"1,430,637"
"Feb 28, 2014",102.15,105.22,100.13,101.56,101.56,"1,243,786"
"Feb 21, 2014",102.87,103.45,101.02,102.40,102.40,"931,348"
"Feb 14, 2014",100.34,103.80,99.43,102.92,102.92,"717,716"
"Feb 07, 2014",97.97,101.38,97.11,100.35,100.35,"1,295,875"
"Jan 31, 2014",97.97,98.83,96.26,97.84,97.84,"1,223,003"
"Jan 24, 2014",97.37,98.59,95.21,98.23,98.23,"1,081,179"
"Jan 17, 2014",94.17,97.84,93.43,97.32,97.32,"891,175"
"Jan 10, 2014",92.30,94.64,91.43,93.96,93.96,"1,140,100"
"Jan 03, 2014",95.47,95.74,91.24,91.66,91.66,"1,082,722"
"Dec 27, 2013",99.63,100.75,95.34,95.44,95.44,"610,709"
"Dec 20, 2013",98.70,99.70,98.53,99.55,99.55,"376,097"
"Dec 13, 2013",97.58,99.17,96.21,98.77,98.77,"818,288"
"Dec 06, 2013",97.38,98.75,97.08,97.50,97.50,"1,178,815"
"Nov 29, 2013",92.33,97.99,92.06,97.38,97.38,"1,239,525"
"Nov 22, 2013",95.29,95.57,91.77,92.30,92.30,"919,759"
"Nov 15, 2013",93.89,95.63,92.43,95.44,95.44,"953,301"
"Nov 08, 2013",94.36,95.38,92.51,93.76,93.76,"1,422,175"
"Nov 01, 2013",96.32,96.65,93.07,94.20,94.20,"1,271,020"
"Oct 25, 2013",97.19,98.82,96.03,96.38,96.38,"1,129,569"
"Oct 18, 2013",100.72,101.71,95.95,97.11,97.11,"1,159,754"
"Oct 11, 2013",102.94,102.97,100.03,100.67,100.67,"1,210,969"
"Oct 04, 2013",102.92,104.19,101.16,103.01,103.01,"1,208,406"
"Sep 27, 2013",102.91,104.38,101.05,103.31,103.31,"1,208,785"
"Sep 20, 2013",106.37,106.46,102.20,103.03,103.03,"1,153,268"
"Sep 13, 2013",108.64,108.99,104.94,106.39,106.39,"1,134,499"
"Sep 06, 2013",108.52,110.70,106.39,108.60,108.60,"1,350,110"
"Aug 30, 2013",108.17,108.83,104.21,108.37,108.37,"947,322"
"Aug 23, 2013",105.22,112.24,104.30,108.80,108.80,"1,307,683"
"Aug 16, 2013",107.18,108.17,103.50,105.03,105.03,"1,107,640"
"Aug 09, 2013",103.87,107.87,103.62,107.33,107.33,"1,360,497"
"Aug 02, 2013",107.80,108.82,102.22,103.40,103.40,"1,341,482"
"Jul 26, 2013",105.56,108.06,102.67,107.89,107.89,"1,217,507"
"Jul 19, 2013",108.12,109.32,104.08,105.49,105.49,"1,186,721"
"Jul 12, 2013",104.58,108.43,104.36,108.04,108.04,"1,115,235"
"Jul 05, 2013",101.09,107.45,100.71,104.91,104.91,"1,516,450"
"Jun 28, 2013",96.81,102.18,96.07,101.24,101.24,"1,115,831"
"Jun 21, 2013",94.96,97.41,92.67,97.05,97.05,"1,484,994"
"Jun 14, 2013",96.64,99.01,94.89,95.40,95.40,"1,116,847"
"Jun 07, 2013",94.72,96.92,93.72,96.69,96.69,"1,292,227"
"May 31, 2013",93.64,95.32,91.26,94.76,94.76,"1,392,661"
"May 24, 2013",94.37,95.92,91.65,93.61,93.61,"1,033,297"
"May 17, 2013",95.15,97.11,92.21,94.25,94.25,"1,225,664"
"May 10, 2013",96.16,96.24,92.13,95.16,95.16,"1,579,105"
"May 03, 2013",93.99,97.17,93.56,96.39,96.39,"1,377,178"
"Apr 26, 2013",93.24,94.69,90.11,93.99,93.99,"1,376,263"
"Apr 19, 2013",88.37,93.87,87.55,93.64,93.64,"1,156,040"
"Apr 12, 2013",93.49,93.52,85.61,87.73,87.73,"1,497,988"
"Apr 05, 2013",93.36,94.82,91.91,93.51,93.51,"1,185,109"
"Mar 29, 2013",97.36,97.80,92.12,93.26,93.26,"1,059,829"
"Mar 22, 2013",92.33,97.35,92.33,97.23,97.23,"1,069,829"
"Mar 15, 2013",93.15,94.09,91.76,92.45,92.45,"864,536"
"Mar 08, 2013",91.42,93.47,90.83,93.03,93.03,"1,123,719"
